well_id,wellbore_id,field_name,sector,platform,slot,well_name,elevation_m,ground_elevation_m,elev_ref,sea_bed_m,sea_bed_ref,current_status,original_status,previous_status,status_date,spud_date,operator,local_location,projection,surface_x,surface_y,latitude,longitude,drillers_td_m,drillers_tvs_m,logger_tvd_m,hole_direction,formation_at_td,target_formation,bottom_x,bottom_y,rig_name,contractor,bore_type,well_objective,surface_lat,surface_lon,bottom_lat,bottom_lon
W-0001,WB-0001,Delta,Onshore,JKT-32,15,Delta-15,46.5,-0.4,KB,0.0,,Drilling,Planned,Drilling,2026-06-23,2018-03-01,ENI,Block 12/28,EPSG:32639,57199.59,64825.7,24.247241,50.093645,2328,1703,1908,Vertical,Arab-D,Shuaiba,57860.39,64446.62,Ensco-100,Borr Drilling,Development,Oil Producer,24.238705,50.096731,24.253069,50.073821
W-0002,WB-0002,Qamar,Offshore-North,PAD-29,29,Qamar-29,48.6,10.9,GL,75.7,MSL,Testing,Planned,Testing,2006-12-15,2003-10-13,QatarEnergy,Block 90/28,EPSG:32640,80543.23,17238.64,27.704286,49.97583,2420,1994,1599,Deviated,Arab-C,Shuaiba,81105.08,16737.38,Ensco-103,Noble,Exploration,Gas Injector,27.696076,49.967431,27.700383,49.955843
W-0003,WB-0003,Delta,Offshore-South,JKT-78,17,Delta-17,16.8,3.0,KB,41.0,MSL,Producing,Drilling,Completed,2005-01-06,1996-10-12,Shell,Block 11/36,EPSG:32640,76016.09,87239.46,26.391964,55.250037,6352,5587,4635,Horizontal,Mauddud,Shuaiba,74803.35,86267.92,Borr-Prospector,Noble,Exploration,Gas Producer,26.395003,55.244884,26.39084,55.248928
W-0004,WB-0004,Jade,Onshore,FPSO-13,25,Jade-25,26.4,3.0,DF,0.0,,Suspended,Completed,Testing,2023-10-31,2018-09-10,QatarEnergy,Block 48/23,EPSG:32639,15389.99,61311.62,25.591951,49.99637,5778,4634,3970,Horizontal,Mishrif,Arab-D,16657.71,61633.42,Shelf-5,KCA Deutag,Exploration,Appraisal,25.59169,50.001844,25.60062,49.977542
W-0005,WB-0005,Hail,Offshore-North,PAD-49,18,Hail-18,35.0,-4.3,GL,18.0,MSL,Drilling,Completed,Shut-in,2014-06-11,2006-09-03,BP,Block 99/4,EPSG:32639,14924.95,15720.39,22.936112,50.175598,5362,3934,4766,Vertical,Mauddud,Thamama,15130.37,15650.26,Ensco-101,Noble,Exploration,Appraisal,22.94192,50.176172,22.951164,50.194579
W-0006,WB-0006,Khuff,Offshore-North,PAD-51,42,Khuff-42,29.3,-3.2,DF,97.5,MSL,Shut-in,Drilling,Shut-in,2027-01-21,2025-05-26,ENI,Block 69/17,EPSG:32641,26817.44,96233.81,22.935967,54.075186,2347,2069,1915,Horizontal,Thamama,Thamama,26408.62,97330.91,Ensco-104,Valaris,Exploration,Appraisal,22.944292,54.083745,22.926856,54.064069
W-0007,WB-0007,Oryx,Onshore,PLAT-15,10,Oryx-10,13.0,2.0,GL,0.0,,Completed,Completed,Abandoned,2014-07-08,2012-09-01,Saudi Aramco,Block 50/25,EPSG:32641,36107.47,51836.55,22.348502,51.597919,4959,3901,3324,Deviated,Yamama,Mishrif,36877.09,50432.88,Shelf-3,Nabors,Exploration,Oil Producer,22.346269,51.596494,22.342185,51.596826
W-0008,WB-0008,Qamar,Offshore-South,JKT-15,19,Qamar-19,52.9,2.8,DF,23.5,MSL,Drilling,Drilling,Producing,2019-09-19,2017-11-21,PDO Oman,Block 65/12,EPSG:32641,40845.56,7289.85,27.197057,54.213684,2815,2520,2517,Vertical,Mishrif,Yamama,40117.66,7721.45,Shelf-5,Valaris,Exploration,Water Injector,27.198985,54.22108,27.214287,54.19613
W-0009,WB-0009,Falcon,Offshore-West,PLAT-77,21,Falcon-21,49.4,19.9,DF,96.4,MSL,Testing,Planned,Suspended,1998-10-07,1998-06-30,PDO Oman,Block 31/4,EPSG:32639,67969.72,62683.29,25.60669,48.522929,5945,5776,5773,Horizontal,Arab-D,Arab-D,68550.25,63472.14,Shelf-1,Nabors,Exploration,Appraisal,25.606704,48.521908,25.60983,48.523811
W-0010,WB-0010,Eagle,Offshore-North,PAD-71,11,Eagle-11,48.8,-0.1,DF,85.2,MSL,Shut-in,Completed,Abandoned,2022-01-15,2016-01-26,ENI,Block 97/13,EPSG:32641,5668.04,25319.89,26.248435,51.90057,5151,4800,4911,Deviated,Thamama,Mauddud,4287.17,26098.35,Ensco-107,Borr Drilling,Appraisal,Oil Producer,26.258067,51.910155,26.235593,51.895768
